sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
QCOM,long,2026-02-05 09:44:00-05:00,2026-02-05 09:55:00-05:00,137.15,136.64447230769233,36,-18.198996923076493,4.2286059091163075,-22.4276028321928,12,5.8823018802635065,-0.9999999999999774,stop_loss
AMZN,short,2026-02-05 10:11:00-05:00,2026-02-05 10:18:00-05:00,221.55,222.26183,22,-15.660259999999823,4.1842834192280005,-19.844543419227822,8,2.548355962553255,-0.9999999999999881,stop_loss
ROKU,short,2026-02-05 10:00:00-05:00,2026-02-05 15:55:00-05:00,87.26,85.67,56,89.04000000000019,4.161441424,84.87855857600019,356,2.5809909919916474,3.637208271085524,eod_win
GOOG,long,2026-02-05 09:35:00-05:00,2026-02-05 15:55:00-05:00,315.22,331.365,15,242.17499999999973,4.154115945,238.02088405499973,381,3.835521485171418,15.019163503758266,eod_win
HOOD,long,2026-02-06 09:35:00-05:00,2026-02-06 09:35:00-05:00,80.73,80.1097,61,-37.83830000000002,4.21749264326,-42.05579264326002,1,4.151754696212303,-1.0000000000000009,stop_loss
COIN,long,2026-02-06 09:36:00-05:00,2026-02-06 09:37:00-05:00,156.76,155.61026923076923,31,-35.641653846153474,4.152884036484615,-39.79453788263809,2,2.865925204594336,-0.99999999999999,stop_loss
AFRM,short,2026-02-06 09:37:00-05:00,2026-02-06 09:37:00-05:00,59.46,60.1,83,-53.12000000000005,4.272820744000001,-57.39282074400005,1,4.976101503432694,-1.693200943471103,stop_loss
AMZN,long,2026-02-06 09:48:00-05:00,2026-02-06 09:48:00-05:00,204.74,203.93124692307694,24,-19.410073846153637,4.203877426408615,-23.61395127256225,1,5.47947338215723,-0.999999999999989,stop_loss
MARA,long,2026-02-06 09:35:00-05:00,2026-02-06 15:55:00-05:00,7.32,8.345,678,694.9500000000003,27.640356186,667.3096438140002,381,2.0063014464774422,11.203316013385132,eod_win
MSTR,long,2026-02-06 09:35:00-05:00,2026-02-06 15:55:00-05:00,121.27,135.4199,40,565.9960000000007,4.4057575688,561.5902424312006,381,2.9916885796841863,11.142962892066075,eod_win
SHOP,long,2026-02-10 10:01:00-05:00,2026-02-10 15:55:00-05:00,126.0,127.44,39,56.15999999999991,4.241391648,51.91860835199991,355,2.774535227904047,1.93889377410023,eod_win
MRNA,short,2026-02-11 09:35:00-05:00,2026-02-11 09:35:00-05:00,36.74,37.11,136,-50.31999999999965,5.76436408,-56.08436407999965,1,3.04933702444559,-1.0967537457218546,stop_loss
HOOD,short,2026-02-11 09:35:00-05:00,2026-02-11 09:40:00-05:00,76.62,77.30491538461538,65,-44.51949999999968,4.301770122100001,-48.82127012209968,6,3.6326171099036313,-0.9999999999999932,stop_loss
SHOP,short,2026-02-11 09:35:00-05:00,2026-02-11 15:55:00-05:00,126.89,117.81,39,354.11999999999995,4.0955717400000005,350.02442826,381,5.381167363628472,9.770722432515878,eod_win
ROKU,short,2026-02-13 09:35:00-05:00,2026-02-13 09:35:00-05:00,91.5,92.46,55,-52.799999999999656,4.346654839999999,-57.146654839999655,1,10.152005739141266,-1.6264061636623228,stop_loss
RIVN,short,2026-02-13 09:36:00-05:00,2026-02-13 09:36:00-05:00,17.05,17.19,295,-41.30000000000017,12.17874224,-53.47874224000017,1,12.993023970497848,-1.3374092472296577,stop_loss
COIN,short,2026-02-13 09:38:00-05:00,2026-02-13 09:45:00-05:00,148.02,149.42076923076925,33,-46.225384615384996,4.210046315538462,-50.43543093092346,8,2.532668899947032,-1.0000000000000087,stop_loss
BA,long,2026-02-13 10:30:00-05:00,2026-02-13 10:44:00-05:00,245.45,244.66629538461538,20,-15.674092307692149,4.20007502331077,-19.87416733100292,15,2.389604366594128,-0.9999999999999898,stop_loss
RIVN,long,2026-02-17 09:35:00-05:00,2026-02-17 09:35:00-05:00,17.64,17.527743076923077,284,-31.88096615384633,11.731944365140922,-43.612910518987256,1,5.978335089316057,-1.0000000000000053,stop_loss
W,long,2026-02-18 09:41:00-05:00,2026-02-18 15:55:00-05:00,89.61,91.555,56,108.92000000000041,4.358725672,104.56127432800041,375,2.4906932599877143,3.009108846791921,eod_win
SMCI,long,2026-02-19 09:39:00-05:00,2026-02-19 09:40:00-05:00,31.7,31.467923076923075,158,-36.668153846154055,6.649914785323077,-43.31806863147713,2,2.412413429623647,-1.0000000000000058,stop_loss
W,long,2026-02-19 09:40:00-05:00,2026-02-19 09:40:00-05:00,80.8,79.665,62,-70.36999999999944,4.276693474000002,-74.64669347399943,1,10.54402975239367,-1.5977571842223106,stop_loss
OXY,long,2026-02-19 09:48:00-05:00,2026-02-19 09:48:00-05:00,51.73,51.54,97,-18.42999999999978,4.317557882,-22.74755788199978,1,6.71669013372032,-1.0338837613277125,stop_loss
BAC,long,2026-02-19 10:20:00-05:00,2026-02-19 10:26:00-05:00,52.67,52.515049230769236,95,-14.720323076922739,4.306365585787692,-19.02668866271043,7,3.1598867290633854,-0.999999999999977,stop_loss
WMT,short,2026-02-20 09:35:00-05:00,2026-02-20 09:37:00-05:00,122.11,122.51123,41,-16.450429999999926,4.304219449954001,-20.754649449953927,3,2.1606553670710076,-0.999999999999996,stop_loss
AMD,short,2026-02-24 09:40:00-05:00,2026-02-24 09:40:00-05:00,207.25,208.73,24,-35.519999999999754,4.278917856,-39.798917855999754,1,2.8345662638777274,-1.3877438559516013,stop_loss
FSLR,long,2026-02-25 09:36:00-05:00,2026-02-25 09:36:00-05:00,210.0,208.5188169230769,23,-34.067210769231025,4.125610047232923,-38.19282081646395,1,17.375621689807048,-1.0000000000000073,stop_loss
NVDA,short,2026-02-26 09:35:00-05:00,2026-02-26 09:42:00-05:00,190.95,191.5584776923077,26,-15.82042000000024,4.263197295676001,-20.08361729567624,8,2.1138800774936364,-1.0000000000000147,stop_loss
SOFI,short,2026-02-27 09:41:00-05:00,2026-02-27 09:44:00-05:00,17.71,17.80946153846154,283,-28.147615384615833,11.693401811707695,-39.84101719632353,4,2.1700063955165763,-1.0000000000000153,stop_loss
MARA,short,2026-02-27 10:04:00-05:00,2026-02-27 10:04:00-05:00,9.31,9.37684076923077,538,-35.96033384615365,21.97810386528092,-57.938437711434574,1,4.228865149744029,-0.9999999999999944,stop_loss
SLB,short,2026-03-02 09:35:00-05:00,2026-03-02 09:35:00-05:00,49.45,49.6118,101,-16.34179999999995,4.35167772204,-20.69347772203995,1,3.451540940805415,-0.9999999999999969,stop_loss
XOM,short,2026-03-02 09:36:00-05:00,2026-03-02 09:36:00-05:00,155.67,156.10580769230768,32,-13.945846153846105,4.278710096984614,-18.22455625083072,1,4.18247547395403,-0.9999999999999969,stop_loss
CVX,short,2026-03-02 09:36:00-05:00,2026-03-02 09:36:00-05:00,188.23,188.96,26,-18.980000000000473,4.204040932000001,-23.184040932000475,1,4.488995786506911,-2.003267711715262,stop_loss
GS,long,2026-03-02 09:36:00-05:00,2026-03-02 15:55:00-05:00,853.14,862.42,5,46.399999999999864,3.67124284,42.72875715999986,380,2.0040104333123705,2.6030029903032452,eod_win
OXY,short,2026-03-02 09:35:00-05:00,2026-03-02 15:55:00-05:00,55.12,54.02,90,98.99999999999949,4.23198828,94.76801171999948,381,4.670076043952553,5.368895696999023,eod_win
AFRM,short,2026-03-03 09:36:00-05:00,2026-03-03 11:08:00-05:00,44.92,45.24717230769231,111,-36.3161261538462,4.755089860307077,-41.07121601415327,93,2.2073517501492694,-1.0000000000000007,stop_loss
