sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
OXY,long,2026-02-02 10:38:00-05:00,2026-02-02 10:43:00-05:00,44.4,44.27050153846154,110,-14.244830769230674,4.707674393704616,-18.95250516293529,6,1.6396513430356905,-0.9999999999999936,stop_loss
PYPL,long,2026-02-02 09:35:00-05:00,2026-02-02 11:31:00-05:00,52.9988,52.86987692307692,93,-11.989846153846422,4.2429036588553855,-16.232749812701808,117,1.6024143124687136,-1.0000000000000233,stop_loss
HOOD,short,2026-02-02 09:38:00-05:00,2026-02-02 15:55:00-05:00,93.0,89.72,53,173.84000000000006,4.160479648000001,169.67952035200008,378,3.325781327504531,6.263330140954309,eod_win
PLTR,short,2026-02-02 14:47:00-05:00,2026-02-02 15:55:00-05:00,148.08,147.92,33,5.280000000000825,4.1897064,1.090293600000825,69,1.589593927933208,0.2393195041944569,eod_win
ROKU,short,2026-02-03 09:36:00-05:00,2026-02-03 09:36:00-05:00,94.67,95.15,52,-24.960000000000207,4.239923792000001,-29.19992379200021,1,3.5876435281319763,-1.2618985506367244,stop_loss
DIS,short,2026-02-03 09:36:00-05:00,2026-02-03 09:36:00-05:00,103.07,103.965,47,-42.06500000000048,4.178373930999999,-46.24337393100048,1,1.5128006177371485,-3.1484322782635434,stop_loss
PFE,long,2026-02-03 09:41:00-05:00,2026-02-03 09:41:00-05:00,25.74,25.635,191,-20.054999999999403,7.976202975,-28.031202974999402,1,3.755316313190056,-1.7229192436825775,stop_loss
TGT,long,2026-02-03 09:39:00-05:00,2026-02-03 09:48:00-05:00,112.2,111.86880846153846,43,-14.241236153846174,4.136111359173384,-18.377347513019558,10,1.7245652400291576,-1.000000000000002,stop_loss
AFRM,short,2026-02-03 09:35:00-05:00,2026-02-03 09:52:00-05:00,61.32,61.67898153846154,80,-28.71852307692336,4.236077144172308,-32.954600221095674,18,1.5103411501226434,-1.000000000000009,stop_loss
SOFI,short,2026-02-03 09:35:00-05:00,2026-02-03 15:55:00-05:00,22.69,21.73,217,208.3200000000002,9.020012092,199.2999879080002,381,2.130147954207177,7.959234433893084,eod_win
PLTR,short,2026-02-03 09:35:00-05:00,2026-02-03 15:55:00-05:00,159.582,157.9601,30,48.65699999999947,4.085295311400001,44.571704688599475,381,4.842534005725582,2.1830517810476904,eod_win
ADBE,short,2026-02-03 10:23:00-05:00,2026-02-03 15:55:00-05:00,278.23,271.79,17,109.47999999999996,4.005719452000001,105.47428054799997,333,2.0939768577132365,7.334209373631185,eod_win
HOOD,short,2026-02-04 09:35:00-05:00,2026-02-04 09:35:00-05:00,82.6036,83.13382230769231,59,-31.28311615384645,4.2028336865306155,-35.48594984037707,1,1.8130507362343566,-1.00000000000001,stop_loss
SMCI,long,2026-02-04 09:35:00-05:00,2026-02-04 09:35:00-05:00,33.57,33.35811384615385,147,-31.147264615384287,6.202312430043692,-37.34957704542798,1,6.513921095877231,-0.9999999999999897,stop_loss
ENPH,long,2026-02-04 09:35:00-05:00,2026-02-04 09:35:00-05:00,51.9299,51.58960384615385,95,-32.32813461538463,4.238676155811539,-36.56681077119617,1,25.666351354686025,-1.0000000000000007,stop_loss
AMD,short,2026-02-04 09:35:00-05:00,2026-02-04 09:36:00-05:00,210.16,211.69284307692308,23,-35.255390769230985,4.1584148641710765,-39.413805633402056,2,2.71670040433936,-1.000000000000006,stop_loss
UBER,short,2026-02-04 09:36:00-05:00,2026-02-04 09:36:00-05:00,74.29,74.9486,66,-43.46759999999952,4.235634023280001,-47.70323402327952,1,6.305193995303379,-2.365353747717307,stop_loss
W,short,2026-02-04 09:35:00-05:00,2026-02-04 09:36:00-05:00,101.74,102.36476846153846,48,-29.98888615384635,4.207104957496615,-34.19599111134296,2,2.3472263637325534,-1.0000000000000067,stop_loss
PYPL,short,2026-02-04 09:38:00-05:00,2026-02-04 09:38:00-05:00,40.31,40.515830769230774,122,-25.111353846154202,5.194632887636923,-30.305986733791126,1,3.1308246039793635,-1.0000000000000147,stop_loss
CVX,long,2026-02-04 09:35:00-05:00,2026-02-04 09:41:00-05:00,180.595,180.2675776923077,27,-8.840402307692159,4.1771432898927685,-13.017545597584927,7,1.8524163897098769,-0.9999999999999839,stop_loss
SHOP,short,2026-02-04 09:45:00-05:00,2026-02-04 09:45:00-05:00,111.8429,112.59,44,-32.87240000000014,4.23915336328,-37.11155336328014,1,2.676821182630164,-1.0076264759373375,stop_loss
ADBE,short,2026-02-04 09:46:00-05:00,2026-02-04 09:47:00-05:00,264.04,265.0291530769231,18,-17.804755384615078,4.0800201063535395,-21.884775490968615,2,1.9457440152346248,-0.999999999999983,stop_loss
COIN,long,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,164.14,163.02265384615384,30,-33.52038461538427,4.208765499461538,-37.729150114845815,1,2.699514989149477,-0.9999999999999901,stop_loss
HOOD,long,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,78.97,78.40608538461538,62,-34.96270615384634,4.194764338307385,-39.15747049215373,1,2.0073473924169236,-1.000000000000006,stop_loss
SOFI,short,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,19.96,20.19,246,-56.580000000000105,10.196249819999998,-66.7762498200001,1,1.7468725410321477,-1.754602163031299,stop_loss
CRM,long,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,199.29,198.40923384615382,24,-21.138387692308015,4.0912255737452305,-25.229613266053246,1,1.624144561734614,-1.0000000000000153,stop_loss
SHOP,short,2026-02-05 09:36:00-05:00,2026-02-05 09:37:00-05:00,111.21,111.97127846153846,44,-33.496252307692544,4.215593840737231,-37.71184614842978,2,1.5818303489921341,-1.0000000000000075,stop_loss
UBER,long,2026-02-05 09:40:00-05:00,2026-02-05 09:40:00-05:00,75.0,74.70617923076924,65,-19.098349999999584,4.184459725870001,-23.282809725869587,1,1.6768775364001425,-0.9999999999999781,stop_loss
COST,short,2026-02-05 09:40:00-05:00,2026-02-05 09:40:00-05:00,987.76,989.7753107692307,4,-8.061243076922892,3.385286423788308,-11.4465295007112,1,2.3428064990096957,-0.9999999999999771,stop_loss
W,short,2026-02-05 09:36:00-05:00,2026-02-05 09:42:00-05:00,86.01,86.6435376923077,57,-36.11164846153878,4.229011455211847,-40.340659916750624,7,5.279425789288762,-1.0000000000000089,stop_loss
MSTR,long,2026-02-05 09:43:00-05:00,2026-02-05 09:43:00-05:00,121.96,120.79645692307692,40,-46.54172307692306,4.167328490867693,-50.70905156779075,1,2.472232294056027,-1.0,stop_loss
MARA,short,2026-02-05 09:51:00-05:00,2026-02-05 09:51:00-05:00,7.72,7.807490769230769,636,-55.644129230769465,25.925690458792616,-81.56981968956208,1,1.8320076033310237,-1.0000000000000047,stop_loss
QCOM,long,2026-02-05 09:44:00-05:00,2026-02-05 09:55:00-05:00,137.15,136.64447230769233,35,-17.693469230768812,4.111144633863077,-21.80461386463189,12,5.8823018802635065,-0.9999999999999774,stop_loss
AMZN,short,2026-02-05 10:11:00-05:00,2026-02-05 10:18:00-05:00,221.55,222.26183,22,-15.660259999999823,4.1842834192280005,-19.844543419227822,8,2.548355962553255,-0.9999999999999881,stop_loss
